Timestamp,TransactionType,Amount,Fraudulent,AnomalyScore,FraudulentLabel,TransactionHour,TransactionDay
2023-10-30 22:00:00,UPI,2175.01,1,0.30002518613591195,Normal,22,Monday
2023-02-05 20:00:00,NetBanking,3037.8,1,0.24509110490924685,Normal,20,Sunday
2023-08-13 14:00:00,UPI,587.66,1,0.17362535821295355,Normal,14,Sunday
2023-08-05 07:00:00,UPI,1674.58,1,0.2971535102288758,Normal,7,Saturday
2023-08-27 22:00:00,UPI,1300.29,1,0.2674232672911737,Normal,22,Sunday
2023-09-19 01:00:00,Card,791.16,1,0.21239580283052123,Normal,1,Tuesday
2023-01-20 10:00:00,Wallet,357.7,1,0.13876169858195186,Normal,10,Friday
2023-07-04 10:00:00,UPI,1055.33,1,0.23857085039306974,Normal,10,Tuesday
2023-08-21 10:00:00,UPI,1806.1,1,0.30557599681725284,Normal,10,Monday
2023-12-13 18:00:00,UPI,2919.31,1,0.26074353893610647,Normal,18,Wednesday
2023-03-12 05:00:00,Card,781.83,1,0.21074838704552523,Normal,5,Sunday
2023-02-02 01:00:00,UPI,2235.51,1,0.2981980971672608,Normal,1,Thursday
2023-10-17 13:00:00,NetBanking,2175.71,1,0.30016455932754826,Normal,13,Tuesday
2023-04-12 09:00:00,Card,3337.57,1,0.19188936038368076,Normal,9,Wednesday
2023-08-10 07:00:00,Card,2456.83,1,0.2961918874429341,Normal,7,Thursday
2023-07-30 11:00:00,UPI,2502.88,1,0.2982778847873264,Normal,11,Sunday
2023-09-25 12:00:00,Wallet,2559.44,1,0.28556114458193976,Normal,12,Monday
2023-02-19 08:00:00,UPI,1260.61,1,0.2661177785670424,Normal,8,Sunday
2023-07-09 19:00:00,UPI,1541.74,1,0.2895735878030978,Normal,19,Sunday
2023-05-22 01:00:00,Card,2893.49,1,0.2637358424379572,Normal,1,Monday
2023-09-24 12:00:00,Card,359.36,1,0.13841391491246868,Normal,12,Sunday
2023-12-28 02:00:00,UPI,1454.15,1,0.28819915781922956,Normal,2,Thursday
